sku,img,title,price,price_sale,cat,desc
,/fileadmin/_processed_/csm_21030764_3239081e24.jpg,"Ugaona garnitura KOCKA"," 54.653,00 RSD ",,,"Tačan naziv dezena je: sedište/naslon/rukonaslon/veliki jastuk štof svetlo braon rino 11. Umetak na velikom jastuku eko koža kapućino. Ugaona garnitura KOCKA je moderno dizajnirano rešenje za dnevne boravke i poseduje mogućnost pretvaranja u ležaj dimenzija 120x210 cm obaranjem naslona, što obezbeđuje dodatni prostrani ležaj za spavanje u domu. Model ugaone garniture KOCKA poseduje kutiju za odlaganje posteljine i ima mogućnost odabira ugla pri montaži."
,/fileadmin/_processed_/csm_21027481_aece3a4449.jpg,"Dvosed HAVANA"," 54.680,00 RSD ",,,"*Napomena: Izbor štofova po štof karti"
,/fileadmin/_processed_/csm_21021354_af0393abb0.jpg,"Trosed ABC"," 55.320,00 RSD ",,," Žičano jezgro i sunđer. Klik-klak mehanizam. Jedna kutija za posteljinu. "
,/fileadmin/_processed_/csm_21013542_ee76f82de1.jpg,"Dušek MEMORY LUX 160x200"," 56.387,00 RSD ",,,"Dušek MEMORY LUX 160x200 izrađen je od tri sloja pene i pruža optimalan odmor i opuštanje. Ovaj dušek ima tvrđu stranu (HR-pena) i mekšu stranu (memo pena)."
,/fileadmin/_processed_/csm_21028753_05009b3cf6.jpg,"Garderober CLIF RCQS92411"," 56.653,00 RSD ",,," Preporučujemo  Police za garderober (WNND92 A06 3 kom). "
,/fileadmin/_processed_/csm_21005855_63a7bca203.jpg,"Trpezarijski sto VS-08"," 57.320,00 RSD ",,,"Tačan naziv dezena je: Konstrukcija drvo wenge/ploča MDF wenge. Model trpezarijskog stola VS-08 klasičnog dizjna poseduje mogućnost proširenja radne površine i kao takav predstavlja pravo rešenje za uređenje enterijera trpezarije koja će po potrebi imati dodatan prostor za sve vaše drage goste. Dimenzije proširene radne površine su 170x90x75 cm."
,/fileadmin/_processed_/csm_21021225_9f0550122b.jpg,"Klizni garderober JAWA (JWS928E4)"," 58.653,00 RSD ",,,"Tačan naziv dezena je: korpus/front Mud Oak D53 iverica, crno staklo. Klizni garderober JAWA (JWS928E4) sinonim je za eleganciju i prefinjen dizajn. Poseban estetski benefit donosi front izrađen od crnog stakla, a sama unutrašnja organizacija koja se sastoji od osnovne i tri dodatne police i garderobne šipke stvara dovoljno prostora za vašu omiljenu garderobu."
,/fileadmin/_processed_/csm_21029618_30b751f482.jpg,"Ležaj PHILADELPHIA"," 58.653,00 RSD ",,,"Gurtna. Klik-klak mehanizam. Jedna kutija za posteljinu."
,/fileadmin/_processed_/csm_21030480_4387046777.jpg,"Ugaona garnitura AMARETTO"," 59.986,00 RSD ",,,"Tačan naziv dezena je: sedište/naslon braon Enjoy 9 khaki, rukonaslon/mali jastuk štof bež Enjoy 7 rabbit. Ugaona garnitura AMARETTO predstavlja odlično rešenje za uređenje savremenih domova po namodernijim standardima. Poseduje val oprugu, dok se delfin iskočnim mehanizmom i obaranjem naslona može se pretvoriti u površinu za spavanje dimenzija 145x205cm. Poseduje univerzalni ugao, kao i kutiju za posteljinu."
,/fileadmin/_processed_/csm_21028690_2e040c6fa7.jpg,"Ležaj ALBA"," 59.987,00 RSD ",,," Žičano jezgro. "
,/fileadmin/_processed_/csm_21029320_44a138225f.jpg,"Trosed NICA"," 59.986,00 RSD ",,," Sunđer. Val opruga. Obaranje naslona. Jedna kutija za posteljinu. "
,/fileadmin/_processed_/csm_21026177_4605acd877.jpg,"Regal ALASKA sa rasvetom"," 60.386,00 RSD ",,,"*Napomena: cena je sa rasvetom."
,/fileadmin/_processed_/csm_21002014_940111d8ec.jpg,"Garderober (4K) KORA KS3"," 60.653,00 RSD ",,,"Tačan opis dezena je: korpus iverica braon, front staklo, apl MDF braon. Klasični model garderobera, 4K KORA KS3 sa fiokama, ogledalima i četiri krila, deo je ambijentalne kompozicije za opremanje dnevne ili spavaće sobe."
